"","employees","salaries_2017","salary_adjustments","salaries_2018","salary_raise"
"Employee 1","Employee 1",48472,3528,52000,TRUE
"Employee 2","Employee 2",44140,2340,46480,TRUE
"Employee 3","Employee 3",43474,7235,50709,TRUE
"Employee 4","Employee 4",44568,2893,47461,TRUE
"Employee 5","Employee 5",49037,7552,56589,TRUE
"Employee 6","Employee 6",43602,-3922,39680,FALSE
"Employee 7","Employee 7",45791,6183,51974,TRUE
"Employee 8","Employee 8",46281,61,46342,TRUE
"Employee 9","Employee 9",47134,4306,51440,TRUE
"Employee 10","Employee 10",40220,5769,45989,TRUE
"Employee 11","Employee 11",44969,9244,54213,TRUE
"Employee 12","Employee 12",44405,-920,43485,FALSE
"Employee 13","Employee 13",45577,9577,55154,TRUE
"Employee 14","Employee 14",41756,2086,43842,TRUE
"Employee 15","Employee 15",45635,6964,52599,TRUE
"Employee 16","Employee 16",46096,8633,54729,TRUE
"Employee 17","Employee 17",46390,9860,56250,TRUE
"Employee 18","Employee 18",47929,-1680,46249,FALSE
"Employee 19","Employee 19",43464,-2113,41351,FALSE
"Employee 20","Employee 20",43335,5649,48984,TRUE
"Employee 21","Employee 21",49874,7685,57559,TRUE
"Employee 22","Employee 22",47164,-4343,42821,FALSE
"Employee 23","Employee 23",44110,5924,50034,TRUE
"Employee 24","Employee 24",45702,-512,45190,FALSE
"Employee 25","Employee 25",41049,-1134,39915,FALSE
"Employee 26","Employee 26",48672,9707,58379,TRUE
"Employee 27","Employee 27",44778,7980,52758,TRUE
"Employee 28","Employee 28",42785,4961,47746,TRUE
"Employee 29","Employee 29",44630,8033,52663,TRUE
"Employee 30","Employee 30",40410,7651,48061,TRUE
"Employee 31","Employee 31",48743,9500,58243,TRUE
"Employee 32","Employee 32",47433,8698,56131,TRUE
"Employee 33","Employee 33",40726,-745,39981,FALSE
"Employee 34","Employee 34",44259,1867,46126,TRUE
"Employee 35","Employee 35",45157,8033,53190,TRUE
"Employee 36","Employee 36",47387,2748,50135,TRUE
"Employee 37","Employee 37",42680,-1011,41669,FALSE
"Employee 38","Employee 38",44872,8029,52901,TRUE
"Employee 39","Employee 39",49623,5352,54975,TRUE
"Employee 40","Employee 40",48418,3917,52335,TRUE
"Employee 41","Employee 41",42681,8853,51534,TRUE
"Employee 42","Employee 42",42607,-2759,39848,FALSE
"Employee 43","Employee 43",49133,7096,56229,TRUE
"Employee 44","Employee 44",45991,-328,45663,FALSE
"Employee 45","Employee 45",40636,8813,49449,TRUE
"Employee 46","Employee 46",47173,4743,51916,TRUE
"Employee 47","Employee 47",47421,-2324,45097,FALSE
"Employee 48","Employee 48",42627,1620,44247,TRUE
"Employee 49","Employee 49",45300,6319,51619,TRUE
"Employee 50","Employee 50",48043,-1134,46909,FALSE
"Employee 51","Employee 51",47278,9984,57262,TRUE
"Employee 52","Employee 52",48653,2836,51489,TRUE
"Employee 53","Employee 53",40463,9971,50434,TRUE
"Employee 54","Employee 54",40080,1039,41119,TRUE
"Employee 55","Employee 55",49393,3764,53157,TRUE
"Employee 56","Employee 56",42416,8377,50793,TRUE
"Employee 57","Employee 57",48997,7801,56798,TRUE
"Employee 58","Employee 58",45113,1438,46551,TRUE
"Employee 59","Employee 59",46969,-818,46151,FALSE
"Employee 60","Employee 60",49570,8377,57947,TRUE
"Employee 61","Employee 61",40541,9809,50350,TRUE
"Employee 62","Employee 62",41295,-2906,38389,FALSE
"Employee 63","Employee 63",47682,3105,50787,TRUE
"Employee 64","Employee 64",48613,-341,48272,FALSE
"Employee 65","Employee 65",47278,7781,55059,TRUE
"Employee 66","Employee 66",49042,-4347,44695,FALSE
"Employee 67","Employee 67",47415,582,47997,TRUE
"Employee 68","Employee 68",41615,2739,44354,TRUE
"Employee 69","Employee 69",44824,6516,51340,TRUE
"Employee 70","Employee 70",44100,-689,43411,FALSE
"Employee 71","Employee 71",44659,7249,51908,TRUE
"Employee 72","Employee 72",44434,-4920,39514,FALSE
"Employee 73","Employee 73",40265,-4665,35600,FALSE
"Employee 74","Employee 74",46539,-1355,45184,FALSE
"Employee 75","Employee 75",43905,7470,51375,TRUE
"Employee 76","Employee 76",40262,-3889,36373,FALSE
"Employee 77","Employee 77",42910,-3322,39588,FALSE
"Employee 78","Employee 78",40004,4359,44363,TRUE
"Employee 79","Employee 79",46454,5066,51520,TRUE
"Employee 80","Employee 80",48269,488,48757,TRUE
"Employee 81","Employee 81",47549,-2252,45297,FALSE
"Employee 82","Employee 82",45148,-4599,40549,FALSE
"Employee 83","Employee 83",46195,2356,48551,TRUE
"Employee 84","Employee 84",43979,3938,47917,TRUE
"Employee 85","Employee 85",44305,9342,53647,TRUE
"Employee 86","Employee 86",46347,375,46722,TRUE
"Employee 87","Employee 87",44797,-2308,42489,FALSE
"Employee 88","Employee 88",45593,9887,55480,TRUE
"Employee 89","Employee 89",45097,-4539,40558,FALSE
"Employee 90","Employee 90",48265,5846,54111,TRUE
"Employee 91","Employee 91",45600,-4333,41267,FALSE
"Employee 92","Employee 92",40132,-766,39366,FALSE
"Employee 93","Employee 93",44755,-4131,40624,FALSE
"Employee 94","Employee 94",40364,4867,45231,TRUE
"Employee 95","Employee 95",42448,8514,50962,TRUE
"Employee 96","Employee 96",49546,2229,51775,TRUE
"Employee 97","Employee 97",42696,5772,48468,TRUE
"Employee 98","Employee 98",40472,5055,45527,TRUE
"Employee 99","Employee 99",49617,543,50160,TRUE
"Employee 100","Employee 100",40411,9809,50220,TRUE
